database_name,recovery_model_desc,last_full_backup,full_backup_age_hours,full_backup_size_mb,last_diff_backup,diff_backup_age_hours,last_log_backup,log_backup_age_hours
-------------,-------------------,----------------,---------------------,-------------------,----------------,---------------------,---------------,--------------------
DemoDatabase,FULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
GrowthLab,FULL,2026-02-09 19:59:48.000,2615,823.09570312500,2026-02-09 20:03:19.000,2614,NULL,NULL
RandomLab,FULL,2026-02-09 19:59:52.000,2615,5.02343750000,2026-02-09 20:03:20.000,2614,2026-02-09 20:38:25.000,2614
SalesDemo,SIMPLE,NULL,NULL,NULL,NULL,NULL,NULL,NULL
testlocal_001_116DEC2E,FULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
testlocal_001_CEF0557D,FULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
testlocal_002_272FF0A1,FULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
testlocal_003_C5673D29,FULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
testlocal_004_57393398,FULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
testlocal_005_1BDC6F19,FULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
testlocal_006_F96600D9,FULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
testlocal_007_E9E01E09,FULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
testlocal_008_39F018FE,FULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
testlocal_009_BD8222F9,FULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
WatchtowerMetrics,SIMPLE,2026-02-09 19:59:47.000,2615,6.08593750000,2026-02-09 20:03:19.000,2614,2026-02-09 20:38:25.000,2614
